iter	Passed	Remaining
0	125	125650
1	128	64038
2	130	43468
3	134	33515
4	137	27306
5	139	23120
6	141	20061
7	145	18063
8	156	17193
9	159	15796
10	162	14580
11	164	13525
12	166	12620
13	169	11925
14	174	11473
15	177	10896
16	179	10351
17	181	9876
18	183	9459
19	186	9140
20	189	8823
21	191	8514
22	193	8222
23	195	7944
24	196	7679
25	198	7444
26	201	7253
27	203	7053
28	204	6854
29	206	6669
30	209	6534
31	210	6380
32	213	6242
33	215	6135
34	217	6004
35	219	5871
36	220	5751
37	222	5641
38	224	5531
39	226	5432
40	228	5349
41	230	5256
42	231	5162
43	233	5070
44	234	4979
45	236	4896
46	237	4813
47	239	4744
48	241	4687
49	243	4624
50	245	4561
51	246	4494
52	247	4429
53	249	4366
54	250	4305
55	252	4248
56	253	4197
57	255	4152
58	258	4115
59	260	4076
60	261	4026
61	262	3978
62	264	3931
63	265	3885
64	267	3843
65	268	3805
66	271	3774
67	273	3748
68	275	3713
69	276	3674
70	278	3639
71	279	3603
72	280	3567
73	282	3538
74	284	3508
75	286	3480
76	288	3454
77	289	3427
78	291	3398
79	292	3369
80	294	3338
81	295	3309
82	296	3274
83	297	3248
84	299	3224
85	302	3212
86	304	3194
87	305	3168
88	307	3144
89	308	3119
90	309	3095
91	311	3074
92	313	3053
93	315	3037
94	317	3024
95	319	3005
96	320	2983
97	321	2962
98	323	2941
99	324	2921
100	326	2905
101	328	2888
102	329	2872
103	332	2862
104	334	2847
105	335	2832
106	337	2816
107	338	2798
108	340	2780
109	341	2766
110	343	2750
111	345	2741
112	348	2732
113	350	2721
114	351	2707
115	353	2693
116	354	2678
117	356	2665
118	358	2653
119	360	2644
120	362	2634
121	364	2620
122	365	2609
123	367	2596
124	369	2584
125	371	2573
126	372	2562
127	374	2553
128	378	2552
129	380	2543
130	381	2531
131	383	2520
132	384	2508
133	386	2500
134	389	2493
135	391	2486
136	393	2478
137	395	2471
138	397	2462
139	399	2452
140	400	2442
141	402	2431
142	404	2426
143	406	2418
144	408	2409
145	410	2399
146	411	2390
147	413	2381
148	415	2374
149	417	2366
150	420	2363
151	422	2356
152	424	2347
153	425	2339
154	427	2329
155	429	2321
156	430	2312
157	432	2303
158	434	2298
159	436	2291
160	437	2280
161	439	2273
162	441	2264
163	442	2257
164	445	2251
165	446	2244
166	448	2236
167	450	2231
168	452	2224
169	454	2217
170	455	2210
171	457	2203
172	459	2198
173	461	2192
174	465	2194
175	468	2191
176	469	2185
177	471	2178
178	473	2172
179	475	2168
180	478	2164
181	480	2160
182	482	2154
183	484	2149
184	486	2143
185	488	2136
186	490	2130
187	492	2125
188	495	2124
189	496	2118
190	498	2112
191	500	2106
192	502	2099
193	503	2092
194	505	2086
195	508	2084
196	511	2085
197	513	2079
198	515	2073
199	517	2069
200	519	2064
201	520	2057
202	523	2055
203	525	2050
204	526	2043
205	528	2036
206	530	2030
207	531	2024
208	533	2018
209	534	2012
210	536	2006
211	538	2001
212	540	1995
213	541	1989
214	542	1982
215	544	1975
216	545	1968
217	547	1963
218	548	1957
219	550	1951
220	552	1946
221	553	1941
222	555	1935
223	556	1928
224	558	1922
225	559	1917
226	561	1911
227	562	1905
228	564	1899
229	566	1896
230	568	1891
231	569	1885
232	571	1880
233	572	1874
234	574	1869
235	575	1863
236	577	1858
237	578	1852
238	580	1847
239	582	1844
240	584	1840
241	586	1836
242	587	1831
243	589	1826
244	591	1823
245	593	1818
246	594	1813
247	596	1808
248	598	1804
249	600	1800
250	601	1795
251	603	1790
252	604	1786
253	606	1781
254	607	1776
255	609	1770
256	611	1766
257	612	1762
258	614	1758
259	616	1754
260	617	1749
261	620	1746
262	621	1741
263	622	1736
264	624	1731
265	625	1727
266	627	1723
267	629	1718
268	630	1713
269	631	1708
270	633	1703
271	635	1700
272	636	1695
273	638	1691
274	639	1687
275	642	1684
276	643	1680
277	645	1676
278	646	1671
279	648	1667
280	650	1663
281	651	1659
282	653	1655
283	654	1651
284	656	1648
285	658	1644
286	660	1639
287	661	1635
288	663	1631
289	664	1626
290	666	1623
291	667	1619
292	669	1615
293	671	1612
294	673	1608
295	674	1604
296	676	1600
297	677	1596
298	679	1592
299	680	1588
300	681	1583
301	683	1579
302	684	1575
303	686	1572
304	688	1568
305	690	1565
306	691	1561
307	692	1556
308	694	1552
309	695	1548
310	697	1545
311	698	1541
312	700	1537
313	702	1534
314	704	1531
315	705	1527
316	707	1524
317	708	1520
318	710	1516
319	712	1513
320	713	1509
321	715	1506
322	717	1503
323	718	1499
324	720	1495
325	721	1491
326	723	1488
327	724	1484
328	726	1481
329	727	1477
330	729	1473
331	731	1471
332	732	1467
333	734	1463
334	735	1460
335	737	1457
336	739	1454
337	740	1451
338	742	1448
339	744	1445
340	746	1443
341	749	1441
342	750	1438
343	752	1434
344	754	1431
345	755	1428
346	757	1425
347	759	1422
348	761	1420
349	763	1417
350	764	1414
351	766	1410
352	769	1409
353	770	1406
354	772	1403
355	775	1402
356	777	1399
357	778	1396
358	780	1393
359	782	1390
360	783	1387
361	785	1384
362	787	1381
363	788	1378
364	791	1376
365	792	1373
366	794	1370
367	796	1367
368	797	1364
369	799	1361
370	801	1358
371	802	1355
372	804	1352
373	806	1350
374	808	1347
375	810	1344
376	812	1341
377	813	1339
378	815	1336
379	817	1333
380	819	1331
381	821	1329
382	823	1326
383	825	1323
384	826	1320
385	828	1317
386	830	1315
387	832	1312
388	834	1311
389	836	1308
390	838	1305
391	840	1303
392	841	1300
393	843	1297
394	845	1295
395	847	1292
396	850	1291
397	851	1288
398	853	1286
399	855	1283
400	857	1281
401	859	1278
402	861	1275
403	863	1273
404	864	1270
405	866	1268
406	868	1265
407	869	1262
408	871	1259
409	873	1256
410	875	1254
411	876	1251
412	878	1249
413	880	1246
414	882	1243
415	883	1240
416	885	1238
417	887	1235
418	889	1232
419	890	1230
420	893	1228
421	895	1225
422	896	1222
423	898	1220
424	899	1217
425	901	1214
426	902	1211
427	904	1208
428	905	1205
429	907	1203
430	909	1200
431	910	1197
432	912	1194
433	913	1191
434	915	1188
435	916	1185
436	918	1182
437	919	1180
438	921	1177
439	923	1174
440	924	1171
441	926	1169
442	927	1166
443	929	1163
444	930	1160
445	932	1157
446	933	1154
447	935	1152
448	936	1149
449	938	1147
450	939	1144
451	941	1141
452	942	1138
453	944	1135
454	945	1132
455	947	1129
456	948	1127
457	950	1124
458	951	1121
459	953	1119
460	955	1116
