iter	Passed	Remaining
0	221	221512
1	268	134049
2	318	105884
3	361	89986
4	374	74512
5	419	69423
6	464	65841
7	510	63348
8	553	60895
9	594	58813
10	635	57123
11	674	55571
12	713	54204
13	754	53126
14	794	52171
15	835	51380
16	876	50691
17	915	49947
18	955	49340
19	997	48898
20	1037	48373
21	1076	47845
22	1099	46725
23	1139	46352
24	1178	45967
25	1226	45934
26	1266	45625
27	1309	45444
28	1352	45284
29	1399	45247
30	1441	45046
31	1481	44809
32	1523	44642
33	1560	44339
34	1599	44104
35	1639	43906
36	1684	43837
37	1728	43753
38	1768	43589
39	1809	43416
40	1848	43240
41	1887	43043
42	1925	42846
43	1964	42679
44	2002	42493
45	2042	42356
46	2081	42204
47	2120	42059
48	2163	41987
49	2204	41890
50	2242	41719
51	2283	41631
52	2321	41472
53	2359	41336
54	2398	41215
55	2438	41103
56	2476	40968
57	2516	40864
58	2556	40775
59	2595	40669
60	2635	40564
61	2675	40481
62	2715	40380
63	2756	40317
64	2796	40221
65	2848	40309
66	2888	40228
67	2929	40149
68	2967	40040
69	3012	40023
70	3052	39934
71	3090	39831
72	3129	39739
73	3168	39647
74	3207	39557
75	3248	39490
76	3289	39429
77	3329	39354
78	3370	39290
79	3411	39234
80	3452	39167
81	3492	39097
82	3533	39034
83	3573	38968
84	3612	38890
85	3651	38804
86	3692	38744
87	3733	38690
88	3772	38619
89	3815	38579
90	3857	38529
91	3896	38456
92	3935	38381
93	3975	38315
94	4014	38240
95	4052	38162
96	4092	38102
97	4132	38032
98	4171	37968
99	4212	37911
100	4253	37856
101	4293	37799
102	4335	37752
103	4375	37693
104	4415	37632
105	4456	37583
106	4495	37518
107	4533	37446
108	4572	37380
109	4612	37322
110	4651	37252
111	4691	37197
112	4731	37143
113	4772	37089
114	4810	37020
115	4849	36955
116	4887	36885
117	4926	36826
118	4970	36800
119	5010	36746
120	5049	36679
121	5087	36615
122	5127	36558
123	5168	36510
124	5206	36447
125	5245	36385
126	5289	36362
127	5329	36304
128	5369	36253
129	5410	36206
130	5450	36159
131	5492	36120
132	5533	36071
133	5572	36015
134	5612	35959
135	5653	35913
136	5690	35848
137	5730	35795
138	5768	35730
139	5807	35677
140	5848	35628
141	5889	35585
142	5932	35555
143	5974	35516
144	6020	35501
145	6061	35454
146	6101	35406
147	6141	35357
148	6179	35293
149	6219	35241
150	6258	35187
151	6296	35126
152	6335	35071
153	6373	35015
154	6412	34959
155	6451	34902
156	6489	34845
157	6530	34800
158	6572	34761
159	6612	34717
160	6652	34667
161	6692	34620
162	6732	34570
163	6773	34527
164	6813	34480
165	6852	34428
166	6892	34377
167	6930	34321
168	6970	34273
169	7008	34217
